id,name,url
"""Bartholomew_Kuma""","""Bartholomew Kuma""",/wiki/Pacifista
"""Dory""","""Dory""",/wiki/X_Drake
"""Lucy""","""Lucy""",/wiki/Sabo
'Invisible_Man','Invisible Man',/wiki/Absalom
'Mysterious_Man','Mysterious Man',/wiki/Vergo
A_O,A O,/wiki/A_O
A_O_Pirates,A O Pirates,/wiki/A_O_Pirates
Abdullah,Abdullah,/wiki/Abdullah
Absalom,Absalom,/wiki/Absalom
Ace,Ace,/wiki/Portgas_D._Ace
Acilia,Acilia,/wiki/Acilia
Acrobatic_Fuwas,Acrobatic Fuwas,/wiki/Buggy_Pirates#Acrobatic_Fuwas
Adele,Adele,/wiki/Adele
Adio_Suerte,Adio Suerte,/wiki/Adio_Suerte
Admiral,Admiral,/wiki/Admiral
Admirals,Admirals,/wiki/Admirals
Aegir,Aegir,/wiki/Aegir
Ageha_Woman,Ageha Woman,/wiki/Ageha_Woman
Aggie_68,Aggie 68,/wiki/Aggie_68
Agotogi,Agotogi,/wiki/Agotogi
Agsilly,Agsilly,/wiki/Agsilly
Agyo,Agyo,/wiki/Agyo
Ahho_Desunen_IX,Ahho Desunen IX,/wiki/Ahho_Desunen_IX
Ahho_Zurako,Ahho Zurako,/wiki/Ahho_Zurako
Ahiru,Ahiru,/wiki/Ahiru
Ain,Ain,/wiki/Ain
Aisa,Aisa,/wiki/Aisa
Akainu,Akainu,/wiki/Sakazuki
Akehende,Akehende,/wiki/Akehende
Akudai_Kanzaburo,Akudai Kanzaburo,/wiki/Akudai_Kanzaburo
Akumai,Akumai,/wiki/Akumai
Aladine,Aladine,/wiki/Aladine
Albion,Albion,/wiki/Albion
Alice,Alice,/wiki/Alice
Ally,Ally,/wiki/Ally
Alpacaman,Alpacaman,/wiki/Alpacaman
Alpha,Alpha,/wiki/Alpha
Alvida,Alvida,/wiki/Alvida
Alvida_Pirates,Alvida Pirates,/wiki/Alvida_Pirates
Amadob,Amadob,/wiki/Amadob
Amatsuki_Toki,Amatsuki Toki,/wiki/Kouzuki_Toki
Amazon,Amazon,/wiki/Amazon
Amazon_Lily,Amazon Lily,/wiki/Amazon_Lily
Ammo_Knights,Ammo Knights,/wiki/Ammo_Knights
An_Zengaiina,An Zengaiina,/wiki/An_Zengaiina
Anba,Anba,/wiki/Anba
Andre,Andre,/wiki/Andre
Ange,Ange,/wiki/Ange
Animal,Animal,/wiki/Animal_Species
Animals,Animals,/wiki/Animals
Anjo,Anjo,/wiki/Anjo
Ankoro,Ankoro,/wiki/Ankoro
Antonio,Antonio,/wiki/Antonio
Aokiji,Aokiji,/wiki/Kuzan
Aphelandra,Aphelandra,/wiki/Aphelandra
Arabasta,Arabasta,/wiki/Arabasta
Arabasta_Kingdom,Arabasta Kingdom,/wiki/Arabasta_Kingdom
Aramaki,Aramaki,/wiki/Aramaki
